date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:59:10	19060/19060	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b258514-4b27%22	https://colorlib.com/preview/theme/bulkapp/js/popper.js	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/js/popper.js	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:10	50564/50564	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b25850f-c584%22	https://colorlib.com/preview/theme/bulkapp/js/bootstrap.min.js	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/js/bootstrap.min.js	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:10	14659/14659	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b258515-3a89%22	https://colorlib.com/preview/theme/bulkapp/js/stellar.js	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/js/stellar.js	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:11	5527/5527	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b2585a5-1597%22	https://colorlib.com/preview/theme/bulkapp/vendors/lightbox/simpleLightbox.min.js	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/vendors/lightbox/simpleLightbox.min.js	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:11	2942/2942	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b258602-b7e%22	https://colorlib.com/preview/theme/bulkapp/vendors/nice-select/js/jquery.nice-select.min.js	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/vendors/nice-select/js/jquery.nice-select.min.js	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:11	5407/5407	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b25859a-151f%22	https://colorlib.com/preview/theme/bulkapp/vendors/isotope/imagesloaded.pkgd.min.js	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/vendors/isotope/imagesloaded.pkgd.min.js	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:11	34706/34706	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b25859a-8792%22	https://colorlib.com/preview/theme/bulkapp/vendors/isotope/isotope-min.js	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/vendors/isotope/isotope-min.js	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:11	42766/42766	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b2585ac-a70e%22	https://colorlib.com/preview/theme/bulkapp/vendors/owl-carousel/owl.carousel.min.js	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/vendors/owl-carousel/owl.carousel.min.js	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:12	4820/4820	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b258511-12d4%22	https://colorlib.com/preview/theme/bulkapp/js/jquery.ajaxchimp.min.js	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/js/jquery.ajaxchimp.min.js	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:12	9028/9028	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b258594-2344%22	https://colorlib.com/preview/theme/bulkapp/vendors/counter-up/jquery.waypoints.min.js	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/vendors/counter-up/jquery.waypoints.min.js	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:12	1415/1415	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b258594-a10%22	https://colorlib.com/preview/theme/bulkapp/vendors/counter-up/jquery.counterup.js	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/vendors/counter-up/jquery.counterup.js	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:13	457/457	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b258513-4ce%22	https://colorlib.com/preview/theme/bulkapp/js/mail-script.js	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/js/mail-script.js	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:13	20216/20216	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b2585af-4ef8%22	https://colorlib.com/preview/theme/bulkapp/vendors/popup/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/vendors/popup/jquery.magnific-popup.min.js	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:13	3843/3843	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b258515-2aaf%22	https://colorlib.com/preview/theme/bulkapp/js/theme.js	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/js/theme.js	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:14	12213/12213	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d2ca217-2fb5%22	https://ajax.cloudflare.com/cdn-cgi/scripts/95c75768/cloudflare-static/rocket-loader.min.js	C:/My%20Web%20Sites/fajar/ajax.cloudflare.com/cdn-cgi/scripts/95c75768/cloudflare-static/rocket-loader.min.js	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:14	55820/55820	---M--	200	added ('OK')	application/octet-stream	etag:%225b2585f2-da0c%22	https://colorlib.com/preview/theme/bulkapp/vendors/linericon/fonts/Linearicons-Free.eot?w118d	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/vendors/linericon/fonts/Linearicons-Free54e9.eot	(from https://colorlib.com/preview/theme/bulkapp/vendors/linericon/style.css)
17:59:15	55820/55820	---M--	200	added ('OK')	application/octet-stream	etag:%225b2585f2-da0c%22	https://colorlib.com/preview/theme/bulkapp/vendors/linericon/fonts/Linearicons-Free.eot?	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/vendors/linericon/fonts/Linearicons-Freed41d.eot	(from https://colorlib.com/preview/theme/bulkapp/vendors/linericon/style.css)
17:59:15	21780/21780	---M--	200	added ('OK')	application/font-woff2	etag:%225b2585f5-5514%22	https://colorlib.com/preview/theme/bulkapp/vendors/linericon/fonts/Linearicons-Free.woff2?w118d	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/vendors/linericon/fonts/Linearicons-Free54e9.woff2	(from https://colorlib.com/preview/theme/bulkapp/vendors/linericon/style.css)
17:59:15	55696/55696	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225b2585f5-d990%22	https://colorlib.com/preview/theme/bulkapp/vendors/linericon/fonts/Linearicons-Free.woff?w118d	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/vendors/linericon/fonts/Linearicons-Free54e9.woff	(from https://colorlib.com/preview/theme/bulkapp/vendors/linericon/style.css)
17:59:15	55620/55620	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225b2585f4-d944%22	https://colorlib.com/preview/theme/bulkapp/vendors/linericon/fonts/Linearicons-Free.ttf?w118d	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/vendors/linericon/fonts/Linearicons-Free54e9.ttf	(from https://colorlib.com/preview/theme/bulkapp/vendors/linericon/style.css)
17:59:16	205847/205847	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225b2585f4-32417%22	https://colorlib.com/preview/theme/bulkapp/vendors/linericon/fonts/Linearicons-Free.svg?w118d	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/vendors/linericon/fonts/Linearicons-Free54e9.svg	(from https://colorlib.com/preview/theme/bulkapp/vendors/linericon/style.css)
17:59:16	76518/76518	---M--	200	added ('OK')	application/octet-stream	etag:%225b2584fc-12ae6%22	https://colorlib.com/preview/theme/bulkapp/fonts/fontawesome-webfont.eot?v=4.5.0	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/fonts/fontawesome-webfont3295.eot	(from https://colorlib.com/preview/theme/bulkapp/css/font-awesome.min.css)
17:59:17	76518/76518	---M--	200	added ('OK')	application/octet-stream	etag:%225b2584fc-12ae6%22	https://colorlib.com/preview/theme/bulkapp/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/fonts/fontawesome-webfontd41d.eot	(from https://colorlib.com/preview/theme/bulkapp/css/font-awesome.min.css)
17:59:17	71896/71896	---M--	200	added ('OK')	application/font-woff2	etag:%225b258501-118d8%22	https://colorlib.com/preview/theme/bulkapp/fonts/fontawesome-webfont.woff2?v=4.5.0	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/fonts/fontawesome-webfont3295.woff2	(from https://colorlib.com/preview/theme/bulkapp/css/font-awesome.min.css)
17:59:19	90412/90412	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225b258501-1612c%22	https://colorlib.com/preview/theme/bulkapp/fonts/fontawesome-webfont.woff?v=4.5.0	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/fonts/fontawesome-webfont3295.woff	(from https://colorlib.com/preview/theme/bulkapp/css/font-awesome.min.css)
17:59:20	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jul%202019%2010:59:22%20GMT	https://colorlib.com/preview/theme/bulkapp/vendors/owl-carousel/owl.video.play.png	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/vendors/owl-carousel/owl.video.play.png	(from https://colorlib.com/preview/theme/bulkapp/vendors/owl-carousel/owl.carousel.min.css)
17:59:21	391622/391622	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225b258500-5f9c6%22	https://colorlib.com/preview/theme/bulkapp/fonts/fontawesome-webfont.svg?v=4.5.0	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/fonts/fontawesome-webfont3295.svg	(from https://colorlib.com/preview/theme/bulkapp/css/font-awesome.min.css)
17:59:21	18424/18424	---M--	200	added ('OK')	image/jpeg	etag:%225b258541-4bcf%22	https://colorlib.com/preview/theme/bulkapp/img/banner/home-banner.jpg	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/banner/home-banner.jpg	(from https://colorlib.com/preview/theme/bulkapp/css/style.css)
17:59:21	152796/152796	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225b2584ff-254dc%22	https://colorlib.com/preview/theme/bulkapp/fonts/fontawesome-webfont.ttf?v=4.5.0	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/fonts/fontawesome-webfont3295.ttf	(from https://colorlib.com/preview/theme/bulkapp/css/font-awesome.min.css)
17:59:22	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jul%202019%2010:59:23%20GMT	https://colorlib.com/preview/theme/bulkapp/img/contact-shap-1.png	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/contact-shap-1.png	(from https://colorlib.com/preview/theme/bulkapp/css/style.css)
17:59:22	558069/558069	---M--	200	added ('OK')	image/jpeg	etag:%225b258547-236738%22	https://colorlib.com/preview/theme/bulkapp/img/banner/banner-2.jpg	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/banner/banner-2.jpg	(from https://colorlib.com/preview/theme/bulkapp/css/style.css)
17:59:22	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jul%202019%2010:59:24%20GMT	https://colorlib.com/preview/theme/bulkapp/img/contact-shap-2.png	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/contact-shap-2.png	(from https://colorlib.com/preview/theme/bulkapp/css/style.css)
17:59:23	411/411	---M--	200	added ('OK')	image/png	etag:%225b258564-67d%22	https://colorlib.com/preview/theme/bulkapp/img/elements/primary-check.png	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/elements/primary-check.png	(from https://colorlib.com/preview/theme/bulkapp/css/style.css)
17:59:24	254/254	---M--	200	added ('OK')	image/png	etag:%225b258565-4b5%22	https://colorlib.com/preview/theme/bulkapp/img/elements/success-check.png	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/elements/success-check.png	(from https://colorlib.com/preview/theme/bulkapp/css/style.css)
17:59:25	269/269	---M--	200	added ('OK')	image/png	etag:%225b258557-4e1%22	https://colorlib.com/preview/theme/bulkapp/img/elements/disabled-check.png	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/elements/disabled-check.png	(from https://colorlib.com/preview/theme/bulkapp/css/style.css)
17:59:25	234/234	---M--	200	added ('OK')	image/png	etag:%225b258564-504%22	https://colorlib.com/preview/theme/bulkapp/img/elements/primary-radio.png	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/elements/primary-radio.png	(from https://colorlib.com/preview/theme/bulkapp/css/style.css)
17:59:26	235/235	---M--	200	added ('OK')	image/png	etag:%225b258565-4b9%22	https://colorlib.com/preview/theme/bulkapp/img/elements/success-radio.png	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/elements/success-radio.png	(from https://colorlib.com/preview/theme/bulkapp/css/style.css)
17:59:27	232/232	---M--	200	added ('OK')	image/png	etag:%225b258558-495%22	https://colorlib.com/preview/theme/bulkapp/img/elements/disabled-radio.png	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/elements/disabled-radio.png	(from https://colorlib.com/preview/theme/bulkapp/css/style.css)
17:59:28	12674/12674	---M--	200	added ('OK')	image/jpeg	etag:%225b258557-38b8%22	https://colorlib.com/preview/theme/bulkapp/img/elements/d.jpg	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/elements/d.jpg	(from https://colorlib.com/preview/theme/bulkapp/elements.html)
17:59:29	894/894	---M--	200	added ('OK')	image/jpeg	etag:%225b258558-757%22	https://colorlib.com/preview/theme/bulkapp/img/elements/f1.jpg	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/elements/f1.jpg	(from https://colorlib.com/preview/theme/bulkapp/elements.html)
17:59:29	951/951	---M--	200	added ('OK')	image/jpeg	etag:%225b258559-7a5%22	https://colorlib.com/preview/theme/bulkapp/img/elements/f2.jpg	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/elements/f2.jpg	(from https://colorlib.com/preview/theme/bulkapp/elements.html)
17:59:30	1329/1329	---M--	200	added ('OK')	image/jpeg	etag:%225b25855a-977%22	https://colorlib.com/preview/theme/bulkapp/img/elements/f3.jpg	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/elements/f3.jpg	(from https://colorlib.com/preview/theme/bulkapp/elements.html)
17:59:31	671/671	---M--	200	added ('OK')	image/jpeg	etag:%225b25855a-617%22	https://colorlib.com/preview/theme/bulkapp/img/elements/f4.jpg	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/elements/f4.jpg	(from https://colorlib.com/preview/theme/bulkapp/elements.html)
